Lemma,Unique Topics Count,POS Tags
choose,3,VERB
p,7,"NOUN, PROPN"
q,5,"NOUN, PROPN"
input,1,"NOUN, VERB"
output,1,NOUN
q.,2,NOUN
figure,2,NOUN
cinema,3,NOUN
sell,12,VERB
adult,7,NOUN
ticket,6,NOUN
child,8,NOUN
ticket,7,NOUN
.Find,9,"PROPN, VERB"
surface,9,NOUN
solid,7,ADJ
hemisphere,3,NOUN
curved,4,ADJ
cylinder,6,NOUN
speed?give,1,ADJ
f(x,2,PROPN
distance?give,1,ADJ
slug,2,NOUN
garden,13,NOUN
day,15,NOUN
cm2.Show,2,VERB
large,10,ADJ
satisfy,4,VERB
radius,2,NOUN
circle?You,1,PROPN
Figure,2,PROPN
-coordinate,3,"NOUN, VERB"
Q.,4,PROPN
type,8,NOUN
continue,2,VERB
Mo,1,PROPN
iswork,1,NOUN
.Write,1,VERB
Tick,10,PROPN
chord,3,NOUN
scatter,1,"NOUN, VERB"
good,6,ADJ
fit,6,"ADJ, NOUN, VERB"
-intercept,2,PROPN
expand,1,VERB
simplify,2,VERB
Triangle,5,PROPN
isoscele,9,NOUN
.the,5,NOUN
Jalina,1,PROPN
cycling,1,NOUN
complete,15,"ADJ, VERB"
park,6,NOUN
back,7,ADV
include,1,VERB
cycle,2,VERB
calculation,6,NOUN
km,12,"NOUN, PROPN"
h,9,"NOUN, PROPN"
position,8,NOUN
cross,11,"NOUN, PROPN"
Term,1,PROPN
satisfy,5,VERB
Expand,1,PROPN
p,6,NOUN
q,4,NOUN
expand,1,VERB
bracket,1,NOUN
respectively,2,ADV
f(0,1,PROPN
k,6,"NOUN, PROPN"
train,17,NOUN
ship,3,NOUN
sail,3,VERB
port,2,NOUN
obtuse,3,ADJ
true?Tick,2,PROPN
ball,5,NOUN
air,2,NOUN
throw,6,VERB
vertically,5,ADV
upwards,1,ADV
ground,3,NOUN
fact,9,NOUN
too,3,ADV
big,1,ADJ
stay,2,VERB
small,11,ADJ
graphical,2,ADJ
piece,4,NOUN
one,5,"NOUN, PROPN"
describe,4,VERB
error,7,NOUN
progression?circle,1,NOUN
Harry,4,PROPN
method?Tick,1,PROPN
work,9,"NOUN, VERB"
liquid,2,NOUN
leak,1,VERB
container,3,NOUN
depth,6,NOUN
liquid,4,"ADJ, NOUN"
decrease,6,"NOUN, VERB"
indicate,1,VERB
respect,2,NOUN
tell,6,VERB
multiply,1,VERB
reflect,2,VERB
last,10,"ADJ, VERB"
l,2,NOUN
scale,2,NOUN
L.,2,PROPN
Rita,2,PROPN
try,6,VERB
incorrect,5,ADJ
3p,1,PROPN
p.,3,NOUN
x1,2,PROPN
calculate,11,VERB
x2,8,"NOUN, PROPN"
x3,3,PROPN
round,2,VERB
2)circle,1,NOUN
square,6,NOUN
divide,5,VERB
remainder,1,NOUN
8x,2,PROPN
Georgina,1,PROPN
increase,6,"NOUN, VERB"
Q,4,PROPN
PQ,3,PROPN
(-8,1,PROPN
example,8,NOUN
divisible,1,ADJ
mean,9,"ADJ, NOUN"
diagonal,4,NOUN
input,1,NOUN
output,1,NOUN
fill,7,VERB
box,11,NOUN
velocity,2,NOUN
parachutist,1,NOUN
leave,2,VERB
plane,11,NOUN
b,6,"NOUN, PROPN"
Solve,1,PROPN
Mark,7,PROPN
end,8,NOUN
month,10,NOUN
March,3,PROPN
June,4,PROPN
one?circle,1,NOUN
volume,13,NOUN
axis,6,NOUN
rocket,2,NOUN
way,9,NOUN
stop,2,VERB
friend,4,NOUN
house,10,NOUN
fast,4,"ADJ, ADV"
before,1,ADV
’,2,VERB
house?give,1,NOUN
nth,1,ADJ
x.,7,"NOUN, PROPN"
thing,2,NOUN
sunflower,2,NOUN
affect,10,VERB
equationwherethe,1,NOUN
write,5,VERB
series,3,NOUN
transformation,2,NOUN
map,3,"NOUN, VERB"
theth,1,ADJ
price,6,NOUN
phone,4,NOUN
y.,5,"NOUN, PROPN"
increase,7,VERB
become,3,VERB
reduce,4,VERB
low,12,ADJ
distinct,2,ADJ
circumference,7,NOUN
Bethany,1,PROPN
great,19,ADJ
justify,3,VERB
decision,8,NOUN
occur,1,VERB
mark,8,"NOUN, VERB"
3y,2,PROPN
−3x,1,PROPN
ordinate,1,VERB
Martha,2,PROPN
correct?explain,2,VERB
deceleration,1,NOUN
approach,1,VERB
fourth,2,ADJ
shaded,11,ADJ
unshaded,4,ADJ
define,1,VERB
generate,1,VERB
Li,2,PROPN
toy,6,NOUN
brick,5,NOUN
red,8,"ADJ, NOUN"
blue,8,"ADJ, NOUN"
pick,5,VERB
brick,4,NOUN
probability,12,NOUN
py,1,PROPN
Line,2,PROPN
Ceri,2,PROPN
also,21,ADV
claim,4,VERB
Academy,2,PROPN
school,14,NOUN
claim,3,NOUN
make,7,VERB
y2,3,PROPN
Mandy,1,PROPN
decide,11,VERB
matrix,2,NOUN
map,4,"NOUN, VERB"
Naga,1,PROPN
state,1,VERB
hypothesis,1,NOUN
Most,2,ADJ
people,19,NOUN
read,1,VERB
book,4,NOUN
ask,7,VERB
sample,7,"NOUN, VERB"
book,2,NOUN
Lynn,1,PROPN
Paul,4,PROPN
Chen,1,PROPN
Ruth,1,PROPN
Number,10,PROPN
datum,4,NOUN
support,14,"NOUN, VERB"
b,20,NOUN
26).find,1,NOUN
know,1,VERB
linear,2,ADJ
5th,3,ADJ
standard,8,ADJ
directly,2,ADV
proportional,2,ADJ
g,9,"NOUN, PROPN"
10,1,PROPN
-coordinate,1,NOUN
fg(-4,1,PROPN
stay,1,VERB
cycle,5,VERB
stop,1,VERB
move,1,VERB
downwards,1,ADV
Jenny,4,PROPN
play,6,VERB
game,8,NOUN
golf,1,NOUN
modal,2,ADJ
score,4,"NOUN, VERB"
score,4,"NOUN, VERB"
Ping,1,PROPN
mode,1,NOUN
tin,5,NOUN
contain,5,VERB
button,2,NOUN
Tin,1,PROPN
contain,12,VERB
tin,11,NOUN
few,3,ADJ
card,8,NOUN
card,10,NOUN
arrange,2,VERB
order,15,"NOUN, VERB"
remain,3,VERB
.Work,7,PROPN
out,5,ADV
label,4,"NOUN, VERB"
iii,6,"NOUN, PROPN"
curve,1,NOUN
reflection,3,NOUN
construct,3,VERB
Hannah,3,PROPN
plan,2,VERB
trip,2,NOUN
want,6,VERB
go,8,"NOUN, VERB"
student,10,NOUN
Place,1,PROPN
Theme,1,PROPN
Park,1,PROPN
Theatre,1,PROPN
Sports,1,PROPN
Centre,1,PROPN
Seaside,1,PROPN
think,3,VERB
xy,1,PROPN
Shade,2,PROPN
Sue,3,PROPN
parcel,4,NOUN
weigh,5,VERB
start,4,VERB
word,2,NOUN
describe,3,VERB
periodic,1,ADJ
exponential,1,ADJ
cubic,3,ADJ
near,15,ADJ
pound,1,NOUN
Jon,3,PROPN
amount,16,NOUN
money,18,NOUN
Elsa,2,PROPN
digit,5,NOUN
get,12,VERB
be,16,VERB
pair,7,NOUN
pave,1,VERB
slab,1,NOUN
paving,1,NOUN
noon,1,NOUN
Temperature,1,PROPN
Frequency,5,PROPN
class,8,"NOUN, PROPN"
interval,4,NOUN
recur,2,VERB
factor,2,NOUN
Zak,3,PROPN
Fred,3,PROPN
grain,2,NOUN
salt,1,NOUN
weigh,2,VERB
packet,5,NOUN
grain,1,NOUN
ordinary,3,ADJ
measure,3,VERB
high,6,ADJ
common,4,ADJ
mixed,3,ADJ
Tom,9,PROPN
research,1,VERB
weight,5,NOUN
plant,7,"NOUN, VERB"
seed,5,NOUN
poppy,1,ADJ
seed,5,NOUN
gram,6,NOUN
pumpkin,1,NOUN
sesame,1,NOUN
kilogram,4,NOUN
type,8,NOUN
accord,1,VERB
weight,8,NOUN
light,1,ADJ
Carol,4,PROPN
predict,2,VERB
Edna,1,PROPN
spend,3,VERB
income,2,NOUN
rent,4,NOUN
living,3,NOUN
expense,1,NOUN
Nav,1,PROPN
approximation,2,NOUN
check,4,"NOUN, VERB"
sensible,4,ADJ
year,13,NOUN
digit,2,NOUN
repeat,1,VERB
big,4,ADJ
small,9,ADJ
LCM,1,PROPN
⩽,2,ADJ
newborn,1,ADJ
baby,1,NOUN
human,1,ADJ
cell,1,NOUN
cell,1,NOUN
Jean,2,PROPN
invest,2,"NOUN, VERB"
account,3,NOUN
pay,1,VERB
compound,1,NOUN
interest,2,NOUN
investment,1,NOUN
company,18,NOUN
make,15,VERB
put,18,VERB
packet,5,NOUN
fact,2,NOUN
produce,1,VERB
rationalise,1,"NOUN, VERB"
denominator,1,NOUN
Marie,2,PROPN
pay,10,VERB
tax,2,NOUN
percentage,16,NOUN
Shari,1,PROPN
buy,16,VERB
candle,1,NOUN
125.She,1,NOUN
profit,7,NOUN
Jules,1,PROPN
washing,1,NOUN
vat,3,NOUN
price,6,NOUN
pay,11,"NOUN, VERB"
convert,2,VERB
Carlos,1,PROPN
Flavia,1,PROPN
Tazia,1,PROPN
share,3,VERB
much,17,"ADJ, ADV"
Claire,2,PROPN
loaf,1,NOUN
bread,4,NOUN
lose,2,VERB
bake,1,VERB
baked,1,ADJ
displayyou,1,VERB
activity,3,NOUN
holiday,7,NOUN
.on,2,ADJ
Sunday,4,PROPN
sailing,3,NOUN
climb,2,VERB
twice,2,ADV
Nishat,1,PROPN
Neptune,2,PROPN
far,1,ADV
away,2,ADV
Earth,4,PROPN
Venus,2,PROPN
reciprocal,5,"ADJ, NOUN"
painting,1,NOUN
sell,17,VERB
art,2,NOUN
gallery,2,NOUN
painting,1,NOUN
commission,1,NOUN
tax,1,NOUN
Layla,1,PROPN
calculate,3,VERB
multiply,1,VERB
convert,2,VERB
Karen,3,PROPN
math,2,NOUN
test,7,NOUN
english,4,ADJ
know,5,VERB
high,5,ADJ
English,5,PROPN
approximation,1,NOUN
expect,4,VERB
old,7,ADJ
figure,4,NOUN
Account,1,PROPN
power,1,NOUN
o,2,NOUN
full,11,ADJ
HCF,2,PROPN
Sally,6,PROPN
litre,10,NOUN
oil,4,NOUN
Mr,8,PROPN
Aston,1,PROPN
tank,8,NOUN
take,14,VERB
upper,2,"ADJ, NOUN"
bind,3,VERB
study,3,"NOUN, PROPN, VERB"
language,3,NOUN
Spanish,6,PROPN
estimation,1,NOUN
Ed,4,PROPN
shop,11,NOUN
Good,1,PROPN
Luck,1,PROPN
2017.work,1,NOUN
January,3,PROPN
×,9,"ADJ, ADV, NOUN, VERB"
cumulative,1,ADJ
film,1,NOUN
Clare,2,PROPN
More,2,ADJ
correct?give,2,ADJ
form,2,"NOUN, VERB"
numerator,1,NOUN
Unit,1,PROPN
James,6,PROPN
take,4,VERB
examination,4,NOUN
paper,2,NOUN
Paper,2,PROPN
paper,2,NOUN
mark,6,NOUN
together,8,ADV
achieve,4,VERB
menu,3,NOUN
starter,1,NOUN
main,3,"ADJ, NOUN"
dish,3,NOUN
dessert,1,NOUN
course,2,NOUN
meal,1,NOUN
consist,3,VERB
starter,1,NOUN
dish,3,NOUN
dessert,1,NOUN
meal,1,NOUN
particular,1,ADJ
chocolate,7,"NOUN, PROPN"
bar,3,NOUN
have,10,VERB
g.,6,"NOUN, PROPN"
rationalise,1,VERB
woman,7,NOUN
bar,3,NOUN
miss,1,VERB
list,5,NOUN
Bill,6,PROPN
decrease,5,"NOUN, VERB"
Badia,1,PROPN
invest,1,VERB
Cyclone,1,PROPN
Bank,1,PROPN
Tornado,1,PROPN
Invest,1,PROPN
yearfor,1,PROPN
